symbol,target_side,raw_target_signed_weight,raw_target_notional,reference_price,current_signed_qty,current_signed_notional,raw_target_abs_qty,target_lattice_abs_qty,target_lattice_signed_qty,short_position_residual_qty,expected_final_signed_qty,executable_expected_signed_weight,projection_weight_gap,projection_notional_gap,estimated_entry_qty,estimated_entry_buying_power,buying_power_price,integer_target_required,constraint_reasons
PL,long,0.0273772037276197,2436.0148269784077,22.83,107.6673,2452.661094,106.70235773010985,106.7023,106.7023,0.0,106.7023,0.027377188915491717,-1.4812127979885523e-08,-0.0013179784077692602,0.0,0.0,22.857396,False,[]
PLD,short,-0.0333333333333333,-2965.98933333333,147.78,-19.9631,-2950.146918,20.07030270221498,20.0,-20.0,-0.03689999999999927,-19.9631,-0.03315528801632013,0.00017804531701316395,15.842415333329882,0.0,0.0,152.2134,True,"['short_target_integer', 'carried_by_min_trade_notional']"
PLTR,short,-0.0257826546791682,-2294.132362902889,133.855,-17.0,-2278.0,17.13893663219819,17.0,-17.0,0.0,-17.0,-0.02560135078031299,0.0001813038988552091,16.13236290288887,0.0,0.0,137.87064999999998,True,"['short_target_integer', 'carried_by_min_trade_notional']"
PNW,long,0.0274617706858054,2443.5395678563445,105.59,0.0,0.0,23.14177069662226,23.1417,23.1417,0.0,23.1417,0.027461686791860795,-8.38939446010679e-08,-0.007464856344540749,23.1417,2446.4643415236,105.71670800000001,False,[]
POWL,long,0.0260787548447015,2320.479260879989,237.7,10.1222,2406.04694,9.76221817787122,9.7622,9.7622,0.0,9.7622,0.026078706284401114,-4.8560300384106164e-08,-0.004320879988881643,0.0,0.0,237.98524,False,[]
PRAX,long,0.0309224596078778,2751.470560721892,308.46,9.0,2765.385,8.920023862808442,8.92,8.92,0.0,8.92,0.030922376884250424,-8.272362737630178e-08,-0.007360721892382571,0.0,0.0,308.830152,False,[]
PTCT,long,0.0333333333333333,2965.98933333333,79.36,37.6121,2991.666434,37.37385752688168,37.3738,37.3738,0.0,37.3738,0.03333328202573892,-5.130759438039876e-08,-0.00456533332953768,0.0,0.0,79.45523200000001,False,[]
PYPL,short,-0.0333333333333333,-2965.98933333333,55.855,-52.0,-2906.28,53.1015904275952,53.0,-53.0,0.0,-53.0,-0.03326956221914936,6.377111418393212e-05,5.674333333329741,1.0,57.53065,57.53065,True,['short_target_integer']
QCOM,short,-0.0179463213095937,-1596.857927304828,172.74,-11.0,-1900.965,9.244285789653977,9.0,-9.0,0.0,-9.0,-0.017472079018490516,0.00047424229110318224,42.197927304828,0.0,0.0,177.9222,True,['short_target_integer']
RBLX,short,-0.0066319408274046,-590.1079726013965,53.43,-11.0,-587.84,11.044506318573768,11.0,-11.0,0.0,-11.0,-0.006606452169753814,2.5488657650785247e-05,2.2679726013964228,0.0,0.0,55.0329,True,"['short_target_integer', 'carried_by_min_trade_notional']"
